Point: 216	  Real: -0.228986	Image:   -0.122396
Point: 217	  Real: -0.410728	Image:   -0.219539
Point: 218	  Real: -0.683708	Image:   -0.365450
Point: 219	  Real: -0.551744	Image:   -0.294913
Point: 220	  Real: -1.500866	Image:   -0.802230
Point: 221	  Real: -1.166202	Image:   -0.623348
Point: 222	  Real: -0.819535	Image:   -0.438051
Point: 223	  Real: -0.972114	Image:   -0.519606
Point: 224	  Real: -0.025450	Image:   -0.258394
Point: 225	  Real: -0.045648	Image:   -0.463477
Point: 226	  Real: -0.075988	Image:   -0.771515
Point: 227	  Real: -0.061321	Image:   -0.622603
Point: 228	  Real: -0.166807	Image:   -1.693620
Point: 229	  Real: -0.129612	Image:   -1.315976
Point: 230	  Real: -0.091084	Image:   -0.924787
Point: 231	  Real: -0.108041	Image:   -1.096961
Point: 232	  Real: -0.075371	Image:   -0.248464
Point: 233	  Real: -0.135191	Image:   -0.445666
Point: 234	  Real: -0.225043	Image:   -0.741866
Point: 235	  Real: -0.181607	Image:   -0.598677
Point: 236	  Real: -0.494011	Image:   -1.628535
Point: 237	  Real: -0.383856	Image:   -1.265403
Point: 238	  Real: -0.269750	Image:   -0.889247
Point: 239	  Real: -0.319972	Image:   -1.054805
Point: 240	  Real: -0.164717	Image:   -0.200708
Point: 241	  Real: -0.295449	Image:   -0.360006
Point: 242	  Real: -0.491812	Image:   -0.599275
Point: 243	  Real: -0.396886	Image:   -0.483607
Point: 244	  Real: -1.079620	Image:   -1.315520
Point: 245	  Real: -0.838886	Image:   -1.022185
Point: 246	  Real: -0.589517	Image:   -0.718329
Point: 247	  Real: -0.699272	Image:   -0.852065
Point: 248	  Real: -0.122396	Image:   -0.228986
Point: 249	  Real: -0.219539	Image:   -0.410728
Point: 250	  Real: -0.365450	Image:   -0.683708
Point: 251	  Real: -0.294913	Image:   -0.551744
Point: 252	  Real: -0.802230	Image:   -1.500866
Point: 253	  Real: -0.623348	Image:   -1.166202
Point: 254	  Real: -0.438051	Image:   -0.819535
Point: 255	  Real: -0.519606	Image:   -0.972114
		    
